text,sentiment
"Excellent product, it's very durable.",1
"The book was disappointingly shallow.",0
"Prompt and friendly customer service.",1
"The product is not as advertised.",0
"The movie was an engaging thrill ride.",1
"The food was too greasy.",0
"I love this product, it's very effective.",1
"The book was overly complicated and confusing.",0
"Fast shipping and good customer service.",1
"The product feels cheap and flimsy.",0
"The movie was filled with suspense and drama.",1
"The food lacked freshness.",0
"The product is top-notch, I'm very satisfied.",1
"The book was too verbose and dense.",0
"Excellent service, very responsive.",1
"The product didn't meet my needs.",0
"The movie was beautifully directed and produced.",1
"The food was served cold.",0
"Highly recommend this product, it's excellent.",1
"The book was too mundane and uneventful.",0
"Prompt delivery and excellent service.",1
"The product was a waste of money.",0
"The movie was a delightful blend of romance and comedy.",1
"The food was too salty.",0
"The product is perfect for my needs.",1
"The book was too preachy and predictable.",0
"Customer service was helpful and efficient.",1
"The product was a disappointment.",0
"The movie was visually stunning.",1
"The food was undercooked.",0
"The product is well-built and durable.",1
"The book was uninteresting and lackluster.",0
"Fast delivery, very pleased with the service.",1
"The product isn't worth the cost.",0
"The movie was a brilliant piece of art.",1
"The food was overpriced for its quality.",0
"The product is efficient and user-friendly.",1
"The book was tediously slow and unengaging.",0
"Excellent customer service, I'm impressed.",1
"The product was faulty upon arrival.",0
"The movie was gripping from start to finish.",1
"The food was too oily.",0
"The product is of high quality and durable.",1
"The book was monotonous and unstimulating.",0
"Very pleased with the service, fast and efficient.",1
"The product was broken upon arrival.",0
"The movie was a cinematic masterpiece.",1
"The food was underseasoned.",0
"Great product, I highly recommend it.",1
"The book was devoid of any substantial plot.",0
"Customer service was outstanding, very helpful.",1
"The product didn't live up to my expectations.",0
"The movie was a visual treat.",1
"The food tasted off.",0
"Excellent product, surpassed my expectations.",1
"The book was not worth the time and effort.",0
"Delivery was prompt and the service was excellent.",1
"The product was not as described.",0
"The movie was a blend of humor and sentiment.",1
"The food was stale.",0
"Product is well made and meets my needs.",1
"The book was a tedious read.",0
"Great customer service, very prompt.",1
"The product didn't perform as expected.",0
"The movie was engaging from start to end.",1
"The food was excessively spicy.",0
"I'm very happy with the product, it's high-quality.",1
"The book lacked character development.",0
"Excellent service, product delivered on time.",1
"The product didn't work as advertised.",0
"The movie had a compelling storyline.",1
"The food was not fresh.",0
"Love the product, it's exactly what I needed.",1
"The book was overhyped.",0
"Great service, very professional and efficient.",1
"The product was not worth the money.",0
"The movie was a perfect blend of action and drama.",1
"The food was overcooked.",0
"The product is excellent and easy to use.",1
"The book was unimpressive and unoriginal.",0
"Quick delivery and good customer service.",1
"The product was defective.",0
"The movie was wonderfully executed.",1
"The food lacked flavor.",0
"Great product, it's reliable and efficient.",1
"The book was uninteresting.",0
"Outstanding service, very satisfied.",1
"The product was a waste of money.",0
"The movie was thought-provoking and insightful.",1
"The food was undercooked.",0
"Fantastic product, I would definitely recommend it.",1
"The book was disappointing.",0
"Prompt service and professional customer care.",1
"The product was poorly made.",0
"The movie was filled with comedy and drama.",1
"The food was too salty.",0
"Quality product, well worth the price.",1
"The book was too predictable.",0
"Excellent customer service, very professional.",1
"The product fell short of expectations.",0
"The movie had great performances by the cast.",1
"The food was too oily.",0
"The product is fantastic, really reliable.",1
"The book was not engaging.",0
"Fast service and helpful customer care.",1
"The product stopped working after a few uses.",0
"The movie had an excellent script and acting.",1
"The food was overpriced.",0
"I'm delighted with the product.",1
"The book was poorly written.",0
"Excellent service, very responsive.",1
"The product is not durable.",0
"The movie was full of suspense.",1
"The food was cold.",0
"The product exceeded my expectations.",1
"The book was overly complex.",0
"Prompt and efficient customer service.",1
"The product arrived damaged.",0
"The movie was a roller coaster of emotions.",1
"The food was not up to the mark.",0
"Love this product, works exactly as described.",1
"The book was uninspiring.",0
"Great service, very helpful and prompt.",1
"The product was faulty.",0
"The movie was a visual delight.",1
"The food was not worth the price.",0
"Excellent product, really worth the price.",1
"The book was not worth the hype.",0
"Customer service was very helpful and polite.",1
"The product was a disappointment.",0
"The movie was an engaging watch.",1
"The food was stale.",0
"Highly satisfied with the product.",1
"The book was not engaging.",0
"Excellent service, very professional.",1
"The product did not meet the description.",0
"The movie was incredibly emotional.",1
"The food was not fresh.",0
"High-quality product, would definitely recommend.",1
"The book lacked depth.",0
"Prompt service and efficient delivery.",1
"The product was not worth the price.",0
"The movie was captivating and interesting.",1
"The food was not well cooked.",0
"Very happy with the product.",1
"The book lacked originality.",0
"Customer service was very efficient.",1
"The product was not as advertised.",0
"The movie was a masterpiece of storytelling.",1
"The food was bland.",0
"Very pleased with the product.",1
"The book was too convoluted.",0
"Service was excellent, delivery was prompt.",1
"The product was not up to standard.",0
"The movie was a breath of fresh air.",1
"The food was too spicy.",0
"Fantastic product, very reliable.",1
"The book lacked any interesting characters.",0
"Prompt service and great customer care.",1
"The product was not as expected.",0
"The movie was well-acted and beautifully shot.",1
"The food was undercooked.",0
"The product is excellent, exceeded my expectations.",1
"The book was a letdown.",0
"Great service, delivery was on time.",1
"The product arrived damaged.",0
"The movie was an exciting thrill ride.",1
"The food was too greasy.",0
"The product works exactly as described.",1
"The book was underwhelming.",0
"Excellent customer service, quick delivery.",1
"The product was not up to the mark.",0
"The movie was a great mix of comedy and action.",1
"The food was poorly presented.",0
"High-quality product, I'm very satisfied.",1
"The book was too predictable.",0
"Great service, product was as described.",1
"The product didn't meet my needs.",0
"The movie had an excellent cast and storyline.",1
"The food lacked flavor.",0
"Fantastic product, great value for money.",1
"The book was dry and uninteresting.",0
"Excellent service, quick response time.",1
"The product was overpriced.",0
"The movie had excellent direction and screenplay.",1
"The food was not fresh.",0
"Excellent product, very satisfied with the purchase.",1
"The book was a boring read.",0
"Great service, quick delivery.",1
"The product was of poor quality.",0
"The movie was a touching portrayal of love.",1
"The food was not well cooked.",0
"The product is very reliable and efficient.",1
"The book was not as good as its reviews.",0
"Customer service was efficient and prompt.",1
"The product was not worth the price.",0
"The movie had a beautiful and engaging narrative.",1
"The food was stale.",0
"Very happy with the product.",1
"The book was too drawn out.",0
"The product was excellent, very reliable.",1
"The book was too long and tedious.",0
"Great service, quick response and delivery.",1
"The product was not what I expected.",0
"The movie was an emotional roller coaster, loved it.",1
"The food was tasteless and poorly presented.",0
"Fantastic product, met all my expectations.",1
"The book was too drawn out, not worth the read.",0
"Customer service was fantastic, very responsive.",1
"The product was of poor quality.",0
"The movie was a great mix of action and adventure.",1
"The food was cold and unappetizing.",0
"Very satisfied with the product, well worth the price.",1
"The book was a drab and monotonous read.",0
"Great customer service, very efficient.",1
"The product was faulty.",0
"The movie was a perfect blend of suspense and drama.",1
"The food was overpriced and not worth it.",0
"High-quality product, definitely recommend.",1
"The book was uninspiring, didn't meet my expectations.",0
"Excellent service, fast and efficient.",1
"The product was damaged on arrival.",0
"The movie was a delightful watch, full of comedy.",1
"The food was undercooked and not tasty.",0
"Very pleased with the product, works perfectly.",1
"The book was confusing, didn't like it.",0
"Great service, product delivered on time.",1
"The product didn't live up to its hype.",0
"The movie was visually stunning, loved the cinematography.",1
"The food was too greasy and unappetizing.",0
"The product is well made and durable.",1
"The book was too complex and convoluted.",0
"Excellent customer service, very responsive.",1
"The product was not as advertised.",0
"The movie was heartwarming and beautifully acted.",1
"The food was bland and lacked flavor.",0
"Fantastic product, great value for money.",1
"The book was a boring read.",0
"Fast shipping, great customer service.",1
"The product was defective.",0
"The movie was a thrilling ride, thoroughly entertaining.",1
"The food was not fresh and tasty.",0
"The product was worth every penny, very satisfied.",1
"The book was uninteresting, not worth the read.",0
"Great customer service, very helpful.",1
"The product was not up to the mark.",0
"The movie was thought-provoking and engaging.",1
"The food was overly sweet and not good.",0
"Very satisfied with the product, works well.",1
"The book was overly complex, didn't enjoy it.",0
"Excellent service, prompt delivery.",1
"The product was not as described.",0
"The movie was a masterpiece, great direction.",1
"The food was cold and unappealing.",0
"The product is fantastic, highly recommend.",1
"The book was a letdown, too predictable.",0
"Customer service was excellent, very prompt.",1
"The product was not worth the money.",0
"The movie was entertaining, loved the plot.",1
"The food was too spicy, didn't like it.",0
"The product is high-quality, very durable.",1
"The book was too drawn out and boring.",0
"Great service, very professional and efficient.",1
"The product was faulty, didn't work.",0
"The movie was an emotional journey, loved it.",1
"The food was undercooked and unappetizing.",0
"The product was perfect, exactly what I needed.",1
"The book was unimpressive, didn't enjoy it.",0
"Great service, very helpful and prompt.",1
"The product was not up to standard.",0
"The movie was a joy to watch, very engaging.",1
"The food was stale, very disappointing.",0
"Excellent product, very satisfied with the purchase.",1
"The book was too complex, not worth the time.",0
"Excellent service, product arrived on time.",1
"The product was not what I expected.",0
"The movie was a masterpiece, beautifully crafted.",1
"The food was overpriced for its quality.",0
"The product is well made, very satisfied.",1
"The book was monotonous, didn't enjoy it.",0
"Fast shipping, great customer service.",1
"The product didn't work as expected.",0
"The movie was engaging, great performances by the cast.",1
"The food was poorly presented, didn't enjoy it.",0
"The product was worth the price, very happy.",1
"The book was unexciting, too drawn out.",0
"Customer service was fantastic, very responsive.",1
"The product was not durable.",0
"The movie was a perfect blend of comedy and action.",1
"The food was too oily, not good.",0
"Very happy with the product, works perfectly.",1
"The book was boring, didn't meet expectations.",0
"Great service, product arrived on time.",1
"The product was not up to the mark.",0
"The movie was visually stunning, great direction.",1
"The food was bland and not tasty.",0
"Fantastic product, met all my expectations.",1
"The book was confusing, didn't like it.",0
"Excellent customer service, very responsive.",1
"The product was of poor quality.",0
"The movie was heartwarming, beautifully acted.",1
"The food was undercooked and unappetizing.",0
"Very satisfied with the product, well made.",1
"The book was a letdown, too drawn out.",0


